id,url,commonName,lat,lon,Total Docks
BikePoints_248,/Place/BikePoints_248,"Triangle Car Park, Hyde Park",51.506451,-0.170279,27
BikePoints_249,/Place/BikePoints_249,"Harper Road, The Borough",51.498597,-0.096191,42
BikePoints_250,/Place/BikePoints_250,"Royal Avenue 1, Chelsea",51.489932,-0.162727,10
BikePoints_251,/Place/BikePoints_251,"Brushfield Street, Liverpool Street",51.518908,-0.079249,34
BikePoints_253,/Place/BikePoints_253,"Shoreditch Park, Hoxton",51.534042,-0.086379,30
BikePoints_254,/Place/BikePoints_254,"Chadwell Street, Angel",51.530515,-0.106408,18
BikePoints_255,/Place/BikePoints_255,"Clifton Road, Maida Vale",51.525575,-0.179592,22
BikePoints_256,/Place/BikePoints_256,"Houghton Street, Strand",51.51362,-0.116764,15
BikePoints_257,/Place/BikePoints_257,"Westminster University, Marylebone",51.522481,-0.154907,16
BikePoints_258,/Place/BikePoints_258,"Kensington Gore, Knightsbridge",51.501432,-0.178656,23
BikePoints_259,/Place/BikePoints_259,"Bourne Street, Belgravia",51.490959,-0.153233,16
BikePoints_260,/Place/BikePoints_260,"Broadwick Street, Soho",51.513684,-0.13558,18
BikePoints_261,/Place/BikePoints_261,"Princes Square, Bayswater",51.513489,-0.191351,16
BikePoints_262,/Place/BikePoints_262,"LSBU (Borough Road), Elephant & Castle",51.498744,-0.103132,35
BikePoints_263,/Place/BikePoints_263,"St. Mary Axe, Aldgate",51.514225,-0.08066,21
BikePoints_264,/Place/BikePoints_264,"Tysoe Street, Clerkenwell",51.526443,-0.109256,20
BikePoints_265,/Place/BikePoints_265,"Southwick Street, Paddington",51.515953,-0.169249,17
BikePoints_266,/Place/BikePoints_266,"Queen's Gate (North), Kensington",51.501026,-0.180246,41
BikePoints_267,/Place/BikePoints_267,"Regency Street, Westminster",51.49206,-0.132224,22
BikePoints_268,/Place/BikePoints_268,"Belgrave Road, Victoria",51.493204,-0.144132,29
BikePoints_269,/Place/BikePoints_269,"Empire Square, The Borough",51.500823,-0.08974,46
BikePoints_270,/Place/BikePoints_270,"Kennington Lane Rail Bridge, Vauxhall",51.486343,-0.122492,31
BikePoints_271,/Place/BikePoints_271,"London Zoo,  The Regent's Park",51.535836,-0.156285,32
BikePoints_272,/Place/BikePoints_272,"Baylis Road, Waterloo",51.501444,-0.110699,22
BikePoints_273,/Place/BikePoints_273,"Belvedere Road 1, South Bank",51.506133,-0.114686,38
BikePoints_274,/Place/BikePoints_274,"Warwick Road, Olympia",51.496712,-0.205284,36
BikePoints_275,/Place/BikePoints_275,"Barbican Centre, Barbican",51.520044,-0.092176,19
BikePoints_276,/Place/BikePoints_276,"Lower Thames Street, Monument",51.509301,-0.084985,24
BikePoints_277,/Place/BikePoints_277,"Kensington Church Street, Kensington",51.503157,-0.191496,17
BikePoints_278,/Place/BikePoints_278,"Tooley Street, Bermondsey",51.503493,-0.07962,27
BikePoints_279,/Place/BikePoints_279,"North Wharf Road, Paddington",51.518623,-0.176603,23
BikePoints_280,/Place/BikePoints_280,"Royal Avenue 2, Chelsea",51.490083,-0.162418,10
BikePoints_281,/Place/BikePoints_281,"Smith Square, Westminster",51.495805,-0.127575,18
BikePoints_282,/Place/BikePoints_282,"Royal London Hospital, Whitechapel",51.518675,-0.06111,42
BikePoints_283,/Place/BikePoints_283,"Kingsway, Covent Garden",51.514409,-0.118478,16
BikePoints_284,/Place/BikePoints_284,"Lambeth North Station, Waterloo",51.49914,-0.112031,20
BikePoints_286,/Place/BikePoints_286,"St. John's Wood Road, St. John's Wood",51.527294,-0.174653,35
BikePoints_287,/Place/BikePoints_287,"Bedford Way, Bloomsbury",51.523673,-0.128377,23
BikePoints_288,/Place/BikePoints_288,"Elizabeth Bridge, Victoria",51.492369,-0.147478,34
BikePoints_289,/Place/BikePoints_289,"South Audley Street, Mayfair",51.50923,-0.151289,15
BikePoints_290,/Place/BikePoints_290,"St Mary's Hospital, Paddington",51.518268,-0.171103,20
BikePoints_291,/Place/BikePoints_291,"Claverton Street, Pimlico",51.484839,-0.138089,32
BikePoints_293,/Place/BikePoints_293,"Kensington Olympia Station, Olympia",51.498157,-0.209494,25
BikePoints_294,/Place/BikePoints_294,"St. George's Square, Pimlico",51.488226,-0.135635,16
BikePoints_295,/Place/BikePoints_295,"Swan Street, The Borough",51.500296,-0.092762,27
BikePoints_296,/Place/BikePoints_296,"Knaresborough Place, Earl's Court",51.493631,-0.190603,18
BikePoints_297,/Place/BikePoints_297,"Geraldine Street, Elephant & Castle",51.496127,-0.106,17
BikePoints_298,/Place/BikePoints_298,"Curlew Street, Shad Thames",51.502279,-0.074189,21
BikePoints_299,/Place/BikePoints_299,"Vincent Square, Westminster",51.493985,-0.136928,19
BikePoints_300,/Place/BikePoints_300,"Serpentine Car Park, Hyde Park",51.505014,-0.17306,18
BikePoints_301,/Place/BikePoints_301,"Marylebone Lane, Marylebone",51.514759,-0.148105,24
BikePoints_302,/Place/BikePoints_302,"Putney Pier, Wandsworth",51.466907,-0.216573,28
BikePoints_303,/Place/BikePoints_303,"Albert Gate, Hyde Park",51.502953,-0.158456,34
BikePoints_306,/Place/BikePoints_306,"Rathbone Street, Fitzrovia",51.518162,-0.135025,16
